length,path,min_edge_kzt,total_kzt
2,100000005171642100 → 100000004221668100 → 100000005171642100,683600.0,1374200.0
2,100000000791285100 → 100000008461532100 → 100000000791285100,560000.0,1680000.0
2,100000005933757100 → 100000002963189100 → 100000005933757100,490000.0,1640000.0
2,100000001872484100 → 100000008601794100 → 100000001872484100,475400.0,1346800.0
2,100000001732159100 → 100000008637537100 → 100000001732159100,381890.0,2664990.0
2,100000002741024100 → 100000007629096100 → 100000002741024100,360000.0,1125205.0
2,100000002217161100 → 100000001445848100 → 100000002217161100,351850.0,897850.0
2,100000007390016100 → 100000008324800100 → 100000007390016100,346500.0,857500.0
2,100000002958343100 → 100000000274067100 → 100000002958343100,300000.0,3200000.0
2,100000004603109100 → 100000002224132100 → 100000004603109100,300000.0,2880000.0
2,100000004717647100 → 100000004479404100 → 100000004717647100,300000.0,1780000.0
3,100000008314203100 → 100000008637537100 → 100000001732159100 → 100000008314203100,232000.0,2837176.0
2,100000002267998100 → 100000003701161100 → 100000002267998100,220000.0,1070000.0
2,100000004299488100 → 100000007055802100 → 100000004299488100,204999.0,809999.0
2,100000002267998100 → 100000003718221100 → 100000002267998100,200000.0,430000.0
2,100000003299365100 → 100000003684369100 → 100000003299365100,200000.0,400000.0
3,100000004979498100 → 100000008571433100 → 100000004135268100 → 100000004979498100,200000.0,1964000.0
2,100000006069103100 → 100000000201868100 → 100000006069103100,190000.0,380000.0
2,100000004892144100 → 100000002224132100 → 100000004892144100,180300.0,4580300.0
2,100000006844768100 → 100000004759121100 → 100000006844768100,175000.0,457000.0
2,100000004670388100 → 100000000291906100 → 100000004670388100,160354.0,540354.0
2,100000002738256100 → 100000004135268100 → 100000002738256100,150200.0,325200.0
2,100000008571433100 → 100000004135268100 → 100000008571433100,150000.0,1214000.0
2,100000006579678100 → 100000003237045100 → 100000006579678100,150000.0,490200.0
2,100000008258083100 → 100000000673868100 → 100000008258083100,149500.0,2180150.0
2,100000000838385100 → 100000008213966100 → 100000000838385100,145000.0,581900.0
2,100000005519998100 → 100000004017410100 → 100000005519998100,141000.0,283000.0
2,100000004209339100 → 100000003635170100 → 100000004209339100,138500.0,371000.0
2,100000005339662100 → 100000004820260100 → 100000005339662100,135850.0,370050.0
2,100000000661912100 → 100000003131016100 → 100000000661912100,126000.0,531700.0
2,100000006232815100 → 100000001380054100 → 100000006232815100,120000.0,280000.0
2,100000003701161100 → 100000003718221100 → 100000003701161100,120000.0,240000.0
3,100000002267998100 → 100000003718221100 → 100000003701161100 → 100000002267998100,120000.0,570000.0
3,100000002267998100 → 100000003701161100 → 100000003718221100 → 100000002267998100,120000.0,1170000.0
3,100000007442518100 → 100000008258083100 → 100000000673868100 → 100000007442518100,115000.0,5145650.0
2,100000005287097100 → 100000003016635100 → 100000005287097100,110723.0,503223.0
2,100000003001661100 → 100000007382543100 → 100000003001661100,110000.0,220000.0
2,100000003880331100 → 100000001857829100 → 100000003880331100,100000.0,400000.0
2,100000004407753100 → 100000007382543100 → 100000004407753100,100000.0,350000.0
3,100000004892144100 → 100000002224132100 → 100000004603109100 → 100000004892144100,100000.0,2860300.0
3,100000003880331100 → 100000008603629100 → 100000001857829100 → 100000003880331100,100000.0,1106000.0
2,100000008314203100 → 100000001732159100 → 100000008314203100,95000.0,417076.0
3,100000000594783100 → 100000004603109100 → 100000002224132100 → 100000000594783100,92500.0,3027500.0
4,100000004892144100 → 100000002224132100 → 100000000594783100 → 100000004603109100 → 100000004892144100,92500.0,3007800.0
2,100000008762832100 → 100000008748914100 → 100000008762832100,85000.0,235000.0
2,100000003923946100 → 100000003977183100 → 100000003923946100,82000.0,364000.0
2,100000008736940100 → 100000008659445100 → 100000008736940100,77300.0,329800.0
3,100000008736940100 → 100000008659445100 → 100000008193577100 → 100000008736940100,77300.0,290290.0
2,100000001677929100 → 100000002394199100 → 100000001677929100,76777.0,354175.0
2,100000002578405100 → 100000001697501100 → 100000002578405100,73700.0,193700.0
3,100000008736940100 → 100000008659445100 → 100000008751429100 → 100000008736940100,72600.0,421600.0
4,100000008736940100 → 100000008659445100 → 100000008193577100 → 100000008751429100 → 100000008736940100,72600.0,313900.0
2,100000004330371100 → 100000006534886100 → 100000004330371100,71700.0,239200.0
2,100000008603629100 → 100000002723538100 → 100000008603629100,70647.0,155647.0
2,100000004015047100 → 100000001616816100 → 100000004015047100,69195.0,179695.0
2,100000008736940100 → 100000008193577100 → 100000008736940100,67300.0,193290.0
3,100000008736940100 → 100000008193577100 → 100000008751429100 → 100000008736940100,67300.0,216900.0
4,100000004070318100 → 100000006866783100 → 100000004351795100 → 100000000437046100 → 100000004070318100,66404.0,783404.0
5,100000004351795100 → 100000008512552100 → 100000003242289100 → 100000008304139100 → 100000006866783100 → 100000004351795100,66404.0,1018865.0
2,100000004070318100 → 100000006866783100 → 100000004070318100,64725.0,149725.0
2,100000004403675100 → 100000003988112100 → 100000004403675100,64000.0,156000.0
2,100000008547844100 → 100000008547948100 → 100000008547844100,61000.0,161000.0
4,100000004070318100 → 100000008346837100 → 100000005910114100 → 100000006866783100 → 100000004070318100,60059.0,458505.0
2,100000000267734100 → 100000000031787100 → 100000000267734100,60000.0,150000.0
2,100000005820746100 → 100000001965374100 → 100000005820746100,60000.0,2049000.0
2,100000000594783100 → 100000002224132100 → 100000000594783100,60000.0,2695000.0
2,100000008314203100 → 100000008637537100 → 100000008314203100,60000.0,292000.0
3,100000008314203100 → 100000001732159100 → 100000008637537100 → 100000008314203100,60000.0,536890.0
3,100000004603109100 → 100000002224132100 → 100000000552584100 → 100000004603109100,57500.0,2857500.0
4,100000004892144100 → 100000002224132100 → 100000000552584100 → 100000004603109100 → 100000004892144100,57500.0,2837800.0
2,100000008193577100 → 100000008659445100 → 100000008193577100,56190.0,143190.0
3,100000008736940100 → 100000008193577100 → 100000008659445100 → 100000008736940100,56190.0,375990.0
4,100000008736940100 → 100000008193577100 → 100000008659445100 → 100000008751429100 → 100000008736940100,56190.0,467790.0
2,100000008686313100 → 100000008603629100 → 100000008686313100,55500.0,131193.0
5,100000003880331100 → 100000000331309100 → 100000008686313100 → 100000008603629100 → 100000001857829100 → 100000003880331100,55500.0,1256542.0
2,100000001382002100 → 100000005584222100 → 100000001382002100,55000.0,111500.0
2,100000001937767100 → 100000001616816100 → 100000001937767100,53000.0,106000.0
2,100000004336312100 → 100000004017410100 → 100000004336312100,52650.0,111565.0
2,100000005382566100 → 100000004041163100 → 100000005382566100,50000.0,216000.0
2,100000008512552100 → 100000003242289100 → 100000008512552100,49000.0,517791.0
2,100000008389800100 → 100000007511163100 → 100000008389800100,49000.0,98000.0
2,100000006169033100 → 100000008011159100 → 100000006169033100,49000.0,395000.0
4,100000004351795100 → 100000003242289100 → 100000008304139100 → 100000006866783100 → 100000004351795100,49000.0,352974.0
5,100000008587459100 → 100000006866783100 → 100000004351795100 → 100000003242289100 → 100000008304139100 → 100000008587459100,49000.0,353474.0
2,100000008686313100 → 100000006866783100 → 100000008686313100,48100.0,273281.0
4,100000008686313100 → 100000006866783100 → 100000004351795100 → 100000000437046100 → 100000008686313100,48100.0,1761487.0
4,100000008686313100 → 100000006866783100 → 100000004351795100 → 100000008603629100 → 100000008686313100,48100.0,267197.0
4,100000008686313100 → 100000006866783100 → 100000004403675100 → 100000000331309100 → 100000008686313100,47187.0,527764.0
2,100000002796853100 → 100000002781227100 → 100000002796853100,46167.62,245167.62
2,100000004390333100 → 100000006866783100 → 100000004390333100,45751.0,105751.0
4,100000004070318100 → 100000006866783100 → 100000004390333100 → 100000000437046100 → 100000004070318100,45751.0,320751.0
4,100000008686313100 → 100000006866783100 → 100000004390333100 → 100000000437046100 → 100000008686313100,45751.0,1298834.0
4,100000008686313100 → 100000006866783100 → 100000004390333100 → 100000008603629100 → 100000008686313100,45751.0,229544.0
