gid,role,role_score,cluster_id,priority_score,evidence,rank,rule_fired,alt_role,sink_status,truncated,p_forward,is_seed,depth,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,out_in_ratio,fast_share,unseen_inflow_kzt,seed_in,seed_out,pagerank,betweenness,flags,prio_role,prio_flow,prio_centrality,prio_seed,prio_flags
100000008165763100,consolidator,1.0,5,0.8866,"Получает от 15 плательщиков: 1,17 млн ₸, 26 переводов (в среднем 45 тыс ₸); seed среди плательщиков: 1; дальше ушло 109% полученного 17 получателям; 4 плательщика за один день (12.07)",1,R3: in_deg=15≥4,distributor,not_sink,False,1.0,False,1,15,17,1165815.0,1267858.0,26,17,1.0875,0.5411,102043.0,1,0,0.00091024,0.00034529,burst_in;repeat_route;repeat_amounts;anomaly;unseen_inflow,0.315,0.2442,0.194,0.0333,0.1
100000008603629100,coordinator,0.9,8,0.864,"Хаб: собирает от 19 плательщиков (1,82 млн ₸) и раздаёт 61 получателю (4,99 млн ₸); связан с 4 кластерами с seed",2,"R1 хаб: in_deg=19≥8, out_deg=61≥20",distributor,not_sink,False,1.0,False,2,19,61,1817300.0,4986156.0,45,74,2.7437,1.0,3168856.0,0,0,0.00119181,0.00576053,fast_transit;burst_in;burst_out;in_cycle;repeat_route;repeat_amounts;anomaly;unseen_inflow,0.315,0.2493,0.1996,0.0,0.1
100000000331309100,coordinator,0.875,3,0.8558,"Мост между 7 кластерами с seed (посредничество в топ-1%); получил 985 тыс ₸ от 5 плательщиков (8 переводов), отправил 23,00 млн ₸ 99 получателям (126 переводов)",3,"R1 мост: посредничество 0.0046 (топ-1%), кластеров с seed=7",distributor,not_sink,False,1.0,False,2,5,99,984635.0,23001375.0,8,126,23.3603,1.0,22016740.0,0,0,0.00087569,0.00455723,fast_transit;burst_in;burst_out;in_cycle;repeat_route;anomaly;unseen_inflow,0.3062,0.25,0.1996,0.0,0.1
100000008346837100,coordinator,0.75,21,0.834,"Мост между 6 кластерами с seed (посредничество в топ-1%); получил 254 тыс ₸ от 9 плательщиков (12 переводов), отправил 1,26 млн ₸ 25 получателям (26 переводов)",4,"R1 мост: посредничество 0.0090 (топ-1%), кластеров с seed=6",consolidator,not_sink,False,1.0,False,2,9,25,254359.0,1258643.0,12,26,4.9483,0.8278,1004284.0,0,1,0.00054741,0.00898116,fast_transit;burst_in;in_cycle;anomaly;unseen_inflow,0.2625,0.2382,0.2,0.0333,0.1
100000004015047100,consolidator,0.75,7,0.8323,"Получает от 9 плательщиков: 919 тыс ₸, 18 переводов (в среднем 51 тыс ₸); seed среди плательщиков: 3; дальше ушло 8% полученного 1 получателю",5,R3: in_deg=9≥4,-,not_sink,False,1.0,False,1,9,1,919104.0,69195.0,18,7,0.0753,0.0479,0.0,3,1,0.0022786,2.289e-05,in_cycle;anomaly,0.2362,0.2312,0.1982,0.1,0.0667
100000003115284100,consolidator,0.682,14,0.8218,"Получает от 8 плательщиков: 2,16 млн ₸, 15 переводов (в среднем 144 тыс ₸); seed среди плательщиков: 2; дальше ушло 24% полученного 2 получателям; 7 плательщиков за один день (19.07)",6,R3: in_deg=8≥4,-,not_sink,False,1.0,False,1,8,2,2160500.0,517000.0,15,4,0.2393,0.2361,0.0,2,0,0.00152864,0.0001278,burst_in;in_cycle;repeat_route;repeat_amounts,0.2148,0.2453,0.1949,0.0667,0.1
100000002578405100,distributor,1.0,11,0.8184,"Веерная раздача: 3,11 млн ₸ 116 получателям (120 переводов, в среднем 26 тыс ₸); получил 1,20 млн ₸ от 2 плательщиков; 9 получателей за один день (08.07)",7,R2: out_deg=116≥10 и ≥3×in_deg,-,not_sink,False,1.0,False,2,2,116,1200351.0,3108352.0,7,120,2.5895,1.0,1908001.0,0,0,0.00057001,0.000171,fast_transit;burst_out;in_cycle;repeat_route;anomaly;unseen_inflow,0.28,0.2479,0.1905,0.0,0.1
100000008304139100,distributor,0.64,5,0.8183,"Веерная раздача: 1,69 млн ₸ 24 получателям (43 перевода, в среднем 39 тыс ₸); получил 189 тыс ₸ от 4 плательщиков",8,R2: out_deg=24≥10 и ≥3×in_deg,consolidator,not_sink,False,1.0,False,1,4,24,189329.75,1692997.0,4,43,8.9421,0.9044,1503667.25,1,2,0.00031362,0.0013103,fast_transit;in_cycle;anomaly;unseen_inflow,0.1792,0.2419,0.1972,0.1,0.1
100000002398779100,consolidator,0.909,1,0.8158,"Получает от 13 плательщиков: 1,10 млн ₸, 28 переводов (в среднем 39 тыс ₸); дальше ушло 6% полученного 1 получателю; 7 плательщиков за один день (09.07)",9,R3: in_deg=13≥4,-,not_sink,False,1.0,False,2,13,1,1095690.0,66000.0,28,3,0.0602,0.0602,0.0,0,0,0.0016005,1.278e-05,burst_in;repeat_route;anomaly,0.2863,0.2343,0.1951,0.0,0.1
100000001697501100,distributor,0.78,11,0.8158,"Веерная раздача: 1,48 млн ₸ 38 получателям (55 переводов, в среднем 27 тыс ₸); получил 124 тыс ₸ от 3 плательщиков; 6 получателей за один день (08.07)",10,R2: out_deg=38≥10 и ≥3×in_deg,-,not_sink,False,1.0,False,1,3,38,123700.0,1482606.0,3,55,11.9855,1.0,1358906.0,1,1,0.0005916,0.00020548,fast_transit;burst_out;in_cycle;anomaly;unseen_inflow,0.2184,0.2393,0.1915,0.0667,0.1
